FrameNumber,BrightArea,Intensity
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,643.5,643.5
31,1002.5,334.1666666666667
32,1239.0,51.625
33,2240.0,560.0
34,3333.5,151.52272727272728
35,3733.0,746.6
36,3780.0,198.94736842105263
37,4880.0,542.2222222222222
38,5196.0,742.2857142857143
39,5209.5,473.59090909090907
40,5482.0,391.57142857142856
41,5895.0,491.25
42,6404.0,640.4
43,6480.0,381.1764705882353
44,7158.5,596.5416666666666
45,7462.5,533.0357142857143
46,7597.5,506.5
47,7701.5,481.34375
48,7777.0,311.08
49,8555.0,503.2352941176471
50,9187.5,459.375
51,9855.0,518.6842105263158
52,9939.5,496.975
53,9917.5,495.875
54,10236.0,465.27272727272725
55,10353.0,383.44444444444446
56,10699.5,465.19565217391306
57,11037.5,459.8958333333333
58,11093.0,369.76666666666665
59,11340.5,436.1730769230769
60,11590.0,445.7692307692308
61,11425.0,439.4230769230769
62,11458.5,440.71153846153845
63,11401.5,438.5192307692308
64,11342.5,436.25
65,11432.5,439.71153846153845
66,11367.0,437.1923076923077
67,11401.5,438.5192307692308
68,11390.0,438.0769230769231
69,11278.5,433.78846153846155
70,11265.5,433.28846153846155
71,11191.5,430.4423076923077
72,11250.0,432.6923076923077
73,11156.0,429.0769230769231
74,11072.0,425.84615384615387
75,11020.0,423.84615384615387
76,11020.5,423.86538461538464
77,10915.5,419.8269230769231
78,10864.0,417.84615384615387
79,10794.0,415.15384615384613
80,10658.5,409.9423076923077
81,10544.0,405.53846153846155
82,10512.5,404.3269230769231
83,10495.0,403.65384615384613
84,10371.0,398.88461538461536
85,10309.5,396.5192307692308
86,10167.0,391.03846153846155
87,10173.0,391.2692307692308
88,10071.0,387.34615384615387
89,9983.0,383.96153846153845
90,9830.0,378.0769230769231
91,9816.0,377.53846153846155
92,9669.5,371.90384615384613
93,9576.0,368.3076923076923
94,9404.5,361.71153846153845
95,9382.5,360.86538461538464
96,9214.5,354.40384615384613
97,9180.0,353.0769230769231
98,8964.0,344.7692307692308
99,8987.0,345.65384615384613
100,8895.5,342.13461538461536
101,8896.0,342.15384615384613
102,8892.0,342.0
103,8893.0,342.03846153846155
104,8893.0,342.03846153846155
105,8894.0,342.0769230769231
106,8894.0,342.0769230769231
107,8894.0,342.0769230769231
108,8894.0,342.0769230769231
109,8894.0,342.0769230769231
110,8894.0,342.0769230769231
111,8893.0,342.03846153846155
112,8893.0,342.03846153846155
113,8893.0,342.03846153846155
114,8893.0,342.03846153846155
115,8893.0,342.03846153846155
116,8893.0,342.03846153846155
117,8893.0,342.03846153846155
118,8893.0,342.03846153846155
119,8893.0,342.03846153846155
120,8893.0,342.03846153846155
121,8893.0,342.03846153846155
122,8893.0,342.03846153846155
123,8893.0,342.03846153846155
124,8893.0,342.03846153846155
125,8893.0,342.03846153846155
126,8893.0,342.03846153846155
127,8893.0,342.03846153846155
128,8893.0,342.03846153846155
129,8893.0,342.03846153846155
130,8893.0,342.03846153846155
131,8893.0,342.03846153846155
132,8893.0,342.03846153846155
133,8893.0,342.03846153846155
134,8893.0,342.03846153846155
135,8893.0,342.03846153846155
136,8893.0,342.03846153846155
137,8893.0,342.03846153846155
138,8893.0,342.03846153846155
139,8893.0,342.03846153846155
140,8893.0,342.03846153846155
141,8893.0,342.03846153846155
